epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4697,1.79026,3.52552,1.2275,0.01222,0.91667,0.11812,0.04565,1.75598,2.94211,0.97891,0,0,0
2,18.0046,1.88897,3.5328,1.21659,0.01222,0.91667,0.14007,0.0503,1.74023,2.94462,0.97479,1.802e-05,1.802e-05,1.802e-05
3,18.3469,1.75778,3.32632,1.11015,0.01222,0.91667,0.17883,0.07104,1.72983,2.94692,0.97153,3.208e-05,3.208e-05,3.208e-05
4,18.7901,1.7991,3.63255,1.20567,0.01185,0.88889,0.18061,0.06353,1.72265,2.94892,0.97112,4.218e-05,4.218e-05,4.218e-05
5,19.1148,1.72108,3.40699,1.14532,0.01185,0.88889,0.18649,0.06554,1.71594,2.94685,0.96837,4.832e-05,4.832e-05,4.832e-05
6,19.5023,1.92918,3.47957,1.30709,0.01296,0.97222,0.23283,0.09983,1.53349,2.89022,0.92518,5.05e-05,5.05e-05,5.05e-05
7,19.9439,1.63049,3.46448,1.11376,0.01296,0.97222,0.22088,0.09745,1.51648,2.88617,0.92083,4.872e-05,4.872e-05,4.872e-05
8,20.4033,1.49398,3.23869,1.08959,0.01296,0.97222,0.2689,0.11983,1.43898,2.88218,0.90864,4.298e-05,4.298e-05,4.298e-05
9,20.8725,1.50226,3.3248,1.09562,0.01296,0.97222,0.24131,0.1061,1.37647,2.88074,0.89752,3.328e-05,3.328e-05,3.328e-05
10,21.3261,1.4767,3.37765,1.05183,0.01296,0.97222,0.30639,0.14081,1.3448,2.87596,0.89186,1.962e-05,1.962e-05,1.962e-05
