epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.83578,1.63484,3.24803,1.10634,0.01222,0.91667,0.13226,0.05079,1.75616,2.94306,0.97951,0,0,0
2,3.49606,1.6691,3.172,1.12945,0.01222,0.91667,0.15458,0.05974,1.74272,2.94136,0.97677,1.9604e-05,1.9604e-05,1.9604e-05
3,4.25711,1.74144,3.21482,1.16389,0.01222,0.91667,0.16981,0.06805,1.74098,2.94314,0.97148,3.8416e-05,3.8416e-05,3.8416e-05
4,4.9101,1.81089,3.30624,1.12842,0.01222,0.91667,0.17343,0.06544,1.72145,2.94546,0.96542,5.6436e-05,5.6436e-05,5.6436e-05
5,5.5646,1.65631,3.30519,1.07775,0.01222,0.91667,0.1592,0.06203,1.71908,2.94879,0.9673,7.3664e-05,7.3664e-05,7.3664e-05
6,6.83077,1.68355,3.36434,1.11072,0.01259,0.94444,0.24699,0.11707,1.40513,2.93892,0.92319,9.01e-05,9.01e-05,9.01e-05
7,7.83497,1.34582,2.9997,1.1166,0.01259,0.94444,0.33348,0.187,1.11164,2.9323,0.85493,0.000105744,0.000105744,0.000105744
8,8.64631,1.19282,3.1828,1.02223,0.01296,0.97222,0.42578,0.25077,1.00291,2.91769,0.83266,0.000120596,0.000120596,0.000120596
9,9.25431,1.07308,2.95025,0.98332,0.01296,0.97222,0.64793,0.39293,0.95942,2.91062,0.82255,0.000134656,0.000134656,0.000134656
10,9.72835,1.06796,2.78858,0.94493,0.01333,1,0.74521,0.46361,0.98393,2.88694,0.82114,0.000147924,0.000147924,0.000147924
11,10.1904,1.15115,2.73466,0.94286,0.01333,1,0.80051,0.46726,1.03511,2.88319,0.83211,0.0001604,0.0001604,0.0001604
12,10.6274,1.01991,2.45928,0.92216,0.01333,1,0.83265,0.49089,1.08587,2.86846,0.8435,0.000172084,0.000172084,0.000172084
13,11.0838,1.00081,2.16027,0.89836,0.01333,1,0.9045,0.54951,1.03777,2.86534,0.82089,0.000182976,0.000182976,0.000182976
14,11.5236,1.05098,1.99988,0.97744,0.01333,1,0.88125,0.57787,0.9762,2.86878,0.80545,0.000193076,0.000193076,0.000193076
15,12.074,1.04959,1.83171,0.8563,0.01333,1,0.88029,0.57529,0.93346,2.86223,0.79956,0.000202384,0.000202384,0.000202384
16,12.5018,1.16349,1.68235,0.95778,0.01333,1,0.89255,0.58289,0.93793,2.86883,0.80379,0.0002109,0.0002109,0.0002109
17,12.9488,1.07514,1.55298,0.93267,0.01333,1,0.90941,0.57501,0.92704,2.86551,0.80614,0.000218624,0.000218624,0.000218624
18,13.3746,0.97816,1.34981,0.95785,0.01333,1,0.90941,0.57501,0.92704,2.86551,0.80614,0.000225556,0.000225556,0.000225556
19,13.8108,1.03592,1.41239,0.93366,0.01333,1,0.94539,0.55153,0.91067,2.85316,0.80597,0.000231696,0.000231696,0.000231696
20,14.2143,0.94512,1.30917,0.87785,0.01333,1,0.94539,0.55153,0.91067,2.85316,0.80597,0.000237044,0.000237044,0.000237044
21,14.6447,1.0424,1.22579,0.92327,0.01333,1,0.93768,0.58827,0.84479,2.83368,0.79512,0.0002416,0.0002416,0.0002416
22,15.075,0.97551,1.14713,0.90307,0.01333,1,0.93768,0.58827,0.84479,2.83368,0.79512,0.000245364,0.000245364,0.000245364
23,15.5129,0.99302,1.18068,0.93362,0.01333,1,0.92877,0.56221,0.86176,2.81336,0.79861,0.000248336,0.000248336,0.000248336
24,15.9321,0.91959,1.09167,0.9182,0.01333,1,0.92877,0.56221,0.86176,2.81336,0.79861,0.000250516,0.000250516,0.000250516
25,16.3602,0.91821,1.03967,0.86526,0.01333,1,0.91132,0.54746,0.91541,2.80232,0.80861,0.000251904,0.000251904,0.000251904
26,16.8915,1.0122,1.02306,0.94445,0.01333,1,0.91132,0.54746,0.91541,2.80232,0.80861,0.0002525,0.0002525,0.0002525
27,17.3234,1.01212,1.01235,0.90034,0.01333,1,0.88937,0.55646,1.01362,2.77193,0.83116,0.000252304,0.000252304,0.000252304
28,17.743,1.04713,0.98229,0.97012,0.01333,1,0.88937,0.55646,1.01362,2.77193,0.83116,0.000251316,0.000251316,0.000251316
29,18.1928,0.93912,0.98734,0.88512,0.01333,1,0.86329,0.56505,0.9896,2.7444,0.82534,0.000249536,0.000249536,0.000249536
30,18.6015,0.87262,0.90113,0.86272,0.01333,1,0.86329,0.56505,0.9896,2.7444,0.82534,0.000246964,0.000246964,0.000246964
31,19.0666,0.94466,0.97053,0.92672,0.01333,1,0.85284,0.58024,0.90699,2.70479,0.81084,0.0002436,0.0002436,0.0002436
32,19.4931,0.88413,0.86927,0.89698,0.01333,1,0.85284,0.58024,0.90699,2.70479,0.81084,0.000239444,0.000239444,0.000239444
33,19.9278,0.89622,0.99624,0.93268,0.01333,1,0.85655,0.5773,0.82219,2.68426,0.79826,0.000234496,0.000234496,0.000234496
34,20.3476,0.88501,0.86494,0.93116,0.01333,1,0.85655,0.5773,0.82219,2.68426,0.79826,0.000228756,0.000228756,0.000228756
35,20.7893,0.88534,0.86581,0.87179,0.01333,1,0.85891,0.58379,0.79505,2.67055,0.79746,0.000222224,0.000222224,0.000222224
36,21.2196,0.93683,0.86575,0.86175,0.01333,1,0.85891,0.58379,0.79505,2.67055,0.79746,0.0002149,0.0002149,0.0002149
37,21.7774,0.92848,0.86752,0.89268,0.01333,1,0.8611,0.55705,0.86443,2.64811,0.80541,0.000206784,0.000206784,0.000206784
38,22.1849,0.8845,0.8107,0.9016,0.01333,1,0.8611,0.55705,0.86443,2.64811,0.80541,0.000197876,0.000197876,0.000197876
39,22.6363,0.91017,0.81641,0.89705,0.01333,1,0.88966,0.55101,0.92102,2.6372,0.81456,0.000188176,0.000188176,0.000188176
40,23.0619,0.93013,0.88697,0.87073,0.01333,1,0.88966,0.55101,0.92102,2.6372,0.81456,0.000177684,0.000177684,0.000177684
41,27.1887,0.90219,1.09944,0.89077,0.01333,1,0.8976,0.53886,0.93308,2.61233,0.81636,0.0001664,0.0001664,0.0001664
42,27.7104,0.82534,1.06255,0.8979,0.01333,1,0.8976,0.53886,0.93308,2.61233,0.81636,0.000154324,0.000154324,0.000154324
43,28.1848,0.85037,1.08857,0.88292,0.01333,1,0.8997,0.55458,0.89377,2.57896,0.81102,0.000141456,0.000141456,0.000141456
44,28.6249,0.86624,1.05227,0.90262,0.01333,1,0.8997,0.55458,0.89377,2.57896,0.81102,0.000127796,0.000127796,0.000127796
45,29.0907,0.83281,1.14625,0.92466,0.01333,1,0.90487,0.59624,0.83495,2.55329,0.80556,0.000113344,0.000113344,0.000113344
46,29.6646,0.79981,1.03005,0.87095,0.01333,1,0.90487,0.59624,0.83495,2.55329,0.80556,9.81e-05,9.81e-05,9.81e-05
47,30.1567,0.89254,1.15166,0.87166,0.01333,1,0.91112,0.65151,0.80958,2.5222,0.80387,8.2064e-05,8.2064e-05,8.2064e-05
48,30.6169,0.8485,0.99413,0.90865,0.01333,1,0.91112,0.65151,0.80958,2.5222,0.80387,6.5236e-05,6.5236e-05,6.5236e-05
49,31.0954,0.80423,0.93694,0.92026,0.01333,1,0.91953,0.68174,0.80171,2.48907,0.80478,4.7616e-05,4.7616e-05,4.7616e-05
50,31.5283,0.85943,0.95141,0.90272,0.01333,1,0.91953,0.68174,0.80171,2.48907,0.80478,2.9204e-05,2.9204e-05,2.9204e-05
